symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
AMPE,"Ampio Pharmaceuticals, Inc.",0.558,0.56,0.56,0.54,0.56,1215762,0.57,-0.01,-0.01754,1789238,92316560,1.31,0.26,-0.12864,NYSE American,2267204,0,-6.5,Health Technology,2
AE,"Adams Resources & Energy, Inc.",29.68,29.8,29.7,29.68,29.7,270,29.8,-0.1,-0.00336,5771,125749800,45.29,29.43,-0.260403,NYSE American,19515,270,40.4,Energy Minerals,3
CRMD,"CorMedix, Inc.",4.85,4.86,4.9,4.61,4.86,145212,4.76,0.1,0.02101,196949,126978192,9.99,2.16,-0.30769,NYSE American,209308,0,-7.27,Health Technology,2
MTNB,"Matinas BioPharma Holdings, Inc.",0.93,0.92,0.93,0.8711,0.92,1281485,0.91,0.01,0.01099,1885928,181688040,2.49,0.49,-0.60411,NYSE American,2114327,0,-7.85,Health Technology,2
CIX,"CompX International, Inc.",13.76,14.62,14.62,13.76,14.62,3261,13.91,0.71,0.05104,3539,181918122,17.57,10.53,0.05314,NYSE American,2465,0,11.17,Producer Manufacturing,3
RVP,"Retractable Technologies, Inc.",5.78,5.66,5.78,5.1,5.66,319961,5.51,0.15,0.02722,1338853,184980120,6.09,0.6219,2.72652,NYSE American,561046,0,63.81,Health Technology,2
EVI,"EVI Industries, Inc.",22.39,22.62,22.84,21.92,22.62,31283,22.3,0.32,0.01435,46155,268906560,41.45,20.1,-0.14065,NYSE American,15737,0,112.76,Commercial Services,3
INS,Intelligent Systems Corp.,32.34,31.7,32.5,31.011,31.7,49570,32.17,-0.47,-0.01461,50471,282922183,56.24,23.26,-0.22431,NYSE American,35724,0,28.35,Technology Services,1
PLYM-A,"Plymouth Industrial REIT, Inc.",26.24,26.66,26.79,25.24,26.66,7647,25.49,1.17,0.0459,3130,395562418,27.65,11.81,0.0355,NYSE American,1579,0,,Finance,1
GSAT,"Globalstar, Inc.",0.3268,0.31,0.337,0.31,0.31,768371,0.337,-0.027,-0.08012,960872,517284600,0.627,0.2302,-0.49522,NYSE American,1346247,0,-9.78,Communications,2
